127.0.0.1 - - [22/Jul/2025:00:20:07 -0500] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:20:19 -0500] "GET /mi_proyecto_gestion/NewFile.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:20:19 -0500] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:23:49 -0500] "GET /mi_proyecto_gestion/NewFile.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:26:00 -0500] "GET /mi_proyecto_gestion/Registro.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:27:32 -0500] "GET /mi_proyecto_gestion/Registro.jsp HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:27:48 -0500] "GET /mi_proyecto_gestion/Registro.jsp HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:28:10 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:33:13 -0500] "GET /mi_proyecto_gestion/Registro.jsp HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:33:13 -0500] "GET /mi_proyecto_gestion/css/registro.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:33:13 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:38:00 -0500] "GET /mi_proyecto_gestion/Registro.jsp HTTP/1.1" 200 3904
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:38:00 -0500] "GET /mi_proyecto_gestion/css/registro.css HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:38:01 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:42:37 -0500] "GET /mi_proyecto_gestion/Registro.jsp HTTP/1.1" 200 3904
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:42:37 -0500] "GET /mi_proyecto_gestion/css/registro.css HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:42:37 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:42:49 -0500] "GET /mi_proyecto_gestion/Registro.jsp HTTP/1.1" 200 3904
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:42:49 -0500] "GET /mi_proyecto_gestion/css/registro.css HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [22/Jul/2025:00:42:49 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 744
